word,0,1,2,3,4
speech,-0.5200623,0.080428444,1.1146197,0.48998582,-0.722121
language,-1.2906429,-0.124437235,0.44809678,-0.23349428,-0.6456685
processing,-1.0095462,-0.061879363,1.0024109,0.12214902,0.029643333
introduction,-1.3662065,0.019136047,0.33501747,0.47033864,0.79242617
natural,-1.2546206,0.43027234,0.5347123,-0.5731821,-0.538013
computational,-1.251152,0.6973905,0.019370079,0.41615337,0.713689
linguistic,-0.88311094,0.78357965,-0.30012092,0.45777857,0.8178173
recognition,-0.8632312,0.39220938,1.2190744,0.6372818,-0.41597098
model,-1.7467593,-0.49542663,0.16054267,-0.046730634,-0.70873344
edition,-0.34027073,0.71662205,1.1920047,1.375317,0.17133726
draft,-0.28318483,0.20632136,1.1676395,0.7318878,0.1433694
daniel,-0.2554014,1.5072187,1.8780508,-0.0009570479,-0.7030775
jurafsky,-1.8218169,1.4521967,-0.6834608,0.5378537,0.7161155
stanford,-0.60461545,1.3666277,0.8472655,1.2325274,-0.08017696
university,-0.09052876,1.4496282,1.0760543,1.2393206,0.9245897
james,0.24852936,1.5365884,0.930672,0.61089075,1.097469
martin,-0.75338566,0.7344937,0.3858344,0.81112254,1.2986526
colorado,0.7819665,1.9294736,0.029220149,1.2862544,0.4203907
copyright,0.107595906,0.5145918,-0.95147026,0.18084194,0.07431969
right,0.5282897,-1.3493654,-0.26658523,2.0671854,0.07458749
reserve,-0.17542112,-0.51132715,0.35825244,0.42979237,-0.6087168
august,-0.5493466,0.15285937,3.426318,-0.14283903,0.47873604
comment,0.3551325,0.8392943,0.41877282,0.11464804,-0.58408356
content,0.05960597,-0.041457664,-0.66668814,0.14229614,0.4570133
large,-1.2474291,-0.15160674,0.13609427,-0.45445332,-1.0943096
word,0.117904246,-0.60211134,-1.0765696,0.43555123,-1.0483607
token,-0.67640364,-1.0537264,-0.012679729,0.81954896,-2.2227688
gram,-1.0149243,-1.0632519,-0.032159954,-0.8927136,-0.8919943
logistic,-2.0315847,-1.7273259,-1.3677641,0.2298789,1.1079421
regression,-2.073587,-1.6531667,-1.2250264,0.241891,1.1322188
embedding,-1.2213244,-0.82674885,-1.0798894,0.9694158,-0.95697945
neural,-2.1756766,-0.78727853,0.59605926,0.8386827,0.42386267
network,-1.9512181,-1.4880506,0.64214665,0.83030355,0.57779497
transformer,-1.5662982,-1.2887895,0.62158144,1.7008435,-0.43076077
mask,-1.6752325,-1.1591166,0.28767225,0.54081285,-1.092794
post,-0.97371197,-0.5983621,-0.16536048,-1.0669935,0.26764134
training,-1.4239184,-0.6727472,-0.27734822,-0.42695135,-1.3299943
instruction,-1.906022,0.029968211,-0.09857123,-1.2894412,-2.0782435
tuning,-2.3483536,-0.15747365,-0.13138756,-1.4617362,-2.156532
alignment,-0.89088535,-1.1365023,0.0694292,-0.8808562,-1.6478381
test,-1.1869628,-0.6194028,-1.2199769,-1.1081246,-1.6784962
time,0.24346954,-1.2842579,0.22297493,0.44032466,-0.34247047
pute,-0.7765207,-0.64798373,-1.9909772,0.017643172,-0.59371656
retrieval,-1.286825,0.29008514,-0.22354129,-0.05873849,-0.3051019
base,-1.5165336,0.088828534,-0.3202511,1.0003208,-0.23867188
machine,-2.2455313,0.2797893,-0.16368674,-0.5345474,0.21938938
translation,-1.738242,0.2278626,-0.24476194,-0.73225665,-0.18414973
rnn,-1.6154099,-1.0149912,1.1006718,1.2481158,-0.26390466
lstms,-0.79667026,-0.8298862,1.1385442,1.2920002,0.54113233
phonetic,0.25808275,-0.5887212,1.2348434,0.16637495,0.11544355
feature,-0.78237545,-0.6099638,-0.99357593,0.81206703,0.04379235
extraction,-0.62231976,0.43077052,-0.3492231,0.96408004,0.226033
automatic,-1.3144228,0.66754454,-0.31955332,-0.22926617,0.2040944
text,-0.69599104,0.3563026,-0.039276637,0.53147143,-1.3622575
annotate,-0.5527743,1.0933491,-0.74534386,0.81201017,-1.1176695
structure,-0.3652737,0.6714373,-0.5554288,1.4214729,0.41553718
sequence,-0.67682666,-0.8851076,0.09436406,1.0681801,-1.4226953
labeling,-1.138902,0.42114407,-0.5744127,1.4273413,-0.0066868397
part,-0.067924105,0.34328425,0.63460773,1.6024458,-0.9731483
name,-0.20794262,1.1991662,-0.38256073,1.4235598,-1.3142815
entity,-0.47300136,1.0043147,-0.9356854,1.4627286,-1.0951505
context,-0.57365054,-0.7204905,-0.33528075,1.0992054,-0.91611123
free,-0.36939022,0.035886034,0.35623088,2.0749996,-0.014295095
grammar,-0.26243064,-0.052422024,0.22128128,2.2996132,0.58639705
constituency,-0.7285186,0.2540711,0.3689656,3.0356333,0.37936357
parse,-0.5536706,0.05068746,-0.2280936,2.1864414,-0.12838943
dependency,-0.92152804,0.4284326,-0.16594742,2.2476172,0.35964334
parsing,-1.4712471,0.7213847,0.22322682,1.9626728,0.4363883
information,-0.32929215,-0.18222295,-0.21419291,0.21431859,-0.19422649
relation,-0.4071184,0.40197283,-1.3490545,1.5095241,0.032060135
event,0.87255865,-0.123334005,-0.6208047,1.084599,0.08735018
semantic,-0.9546198,0.12638576,-1.4678679,0.8942179,1.0884081
role,-0.6523345,0.1602391,-1.5925962,0.982222,0.8005894
lexicon,-0.8005905,-0.03913875,-2.074889,-0.040024765,0.500589
sentiment,-0.90350986,-0.18461896,-2.1372843,-0.3926432,0.3206745
affect,-1.0804697,-0.004261902,-2.111878,-0.33651942,0.5756939
connotation,-0.26050645,-0.59503603,-2.3469374,-0.29966536,1.1035461
coreference,-1.7544302,1.1549147,-1.1617023,0.64254844,-0.55492574
resolution,-1.8161488,1.4631313,-1.205063,1.0023072,-0.2874572
link,-0.68217194,0.8207537,-1.3467014,1.3753226,-0.8104083
discourse,-0.6868674,1.2241293,-0.59927803,1.5213889,-0.22132887
coherence,-1.42858,0.7098958,-1.1667446,1.4968634,0.027661651
conversation,0.104773946,0.5406117,0.034914464,-0.91689694,-0.26619464
bibliography,-1.5896858,2.0303745,0.26539797,0.5991668,-0.017964574
subject,0.8905794,0.08654498,-2.0877445,0.72904086,-0.12204695
index,0.032749932,-0.91262347,0.031062331,0.3480494,-1.1126384
morpheme,0.76683646,-0.024160536,-0.7155339,0.5974011,-0.8938661
unicode,0.25652078,-0.3356156,1.042168,1.1230719,-1.2796389
subword,-0.55227673,-0.34604812,0.5778445,0.6891791,-2.179999
tokenization,-0.5501504,-0.24454348,0.722989,0.5513226,-1.3628894
byte,0.32525334,-0.7386496,0.93208164,0.8448535,-2.717769
pair,-0.7278963,0.04016283,-1.0004451,0.59599936,-1.7158108
encoding,-0.28000832,-0.928332,0.8476701,0.9449015,-1.9602588
rule,-0.3235289,-0.4480176,-0.32899356,1.4951102,0.08736822
corpora,-0.5943283,0.8948382,0.08420542,-0.20917356,-1.239775
regular,0.9456584,-0.77574795,0.35833505,0.72823817,-0.22405523
expression,1.0136105,-0.26844007,-0.25060797,1.1327254,-0.2060067
simple,-1.1099981,-1.0476345,-0.040012006,0.33662352,0.10832038
unix,0.22342122,-0.3343398,0.49249,-0.30095592,0.3024578
tool,-1.1316102,-0.14367566,-0.33138263,-0.08201328,0.48267755
minimum,-0.6090639,-2.104497,1.4034038,-0.9428961,-1.0380769
edit,-0.33237174,-1.89293,1.3507551,-0.8914967,-0.9837325
distance,-0.23055385,-2.0022578,1.1622368,-0.63223207,-1.0730269
summary,-1.0792179,-0.8711007,-0.16677052,0.44956326,0.9420279
historical,-0.8638226,-0.83634377,-0.4471341,0.040656984,1.0632601
note,-0.36203763,-1.0540053,-0.378283,0.25844693,0.77829844
exercise,-0.49298623,-0.7161729,-0.5968104,0.6148531,0.92498183
evaluate,-1.9027871,0.39850694,-0.87976134,-0.43643275,-0.5341508
set,-0.81805784,-0.65358764,-1.2081314,-0.23650402,-1.3923266
perplexity,-1.3881437,-1.3675945,-0.84933496,-1.2538288,-0.7385314
sample,-0.14798434,-1.2231288,-0.10515512,-0.4351222,-1.4142659
sentence,0.013327534,0.046511073,-0.53013843,0.722385,-1.2870826
generalizing,-2.3081076,-1.4454011,-0.46421087,-1.3774598,-1.6688855
overﬁtte,-1.9930205,-1.0968996,-1.1340088,-0.6276962,-0.036859296
smoothing,-1.0264083,-1.8106973,0.49287802,-1.0514438,-0.7664425
interpolation,-1.2842596,-2.2397773,0.59833324,-1.3227514,-0.50048566
backoff,-1.3507049,-1.6893185,0.7078392,-2.132319,-0.43621835
advance,-0.32345966,-1.04997,-0.38465706,-0.24370192,-0.34079626
entropy,-2.0874407,-2.19431,-0.522009,-1.1245266,-0.10653427
learning,-2.4610806,-0.13310365,-0.72184694,0.122034684,0.25269884
classiﬁcation,-1.6158227,-0.33143875,-1.0528976,0.47541675,-0.15863556
sigmoid,-1.0149226,-2.6698675,-0.79271245,0.5953698,0.941934
function,-0.8249524,-2.2661853,-0.6936929,0.19233653,0.3821833
multinomial,-2.0510366,-2.1412694,-1.5791225,0.2280721,1.1655858
cross,-2.5504055,-2.0133657,-0.36067343,-0.64089686,-0.21286361
loss,-1.7405236,-2.3317285,-0.57928467,-0.6129895,-0.1802772
gradient,-1.5009065,-2.5701501,0.03313775,-0.3913996,0.36845815
descent,-1.7919824,-2.7794883,0.4823048,-0.8017561,0.28512552
evaluation,-1.6527954,0.6200357,-0.97300565,-0.4583128,0.035989616
precision,-1.1140435,-1.3149893,-1.9471726,-0.6641948,-0.29154652
recall,-1.1453565,-1.3855203,-1.3602186,-0.366527,-0.16781303
measure,-1.1395826,-0.9430602,-1.5209956,-1.0948398,-0.10371119
validation,-2.5353706,-2.0342548,0.067926995,-2.0394485,-0.3241631
statistical,-1.9739347,-0.26949838,-0.10116753,-0.6921419,0.46587458
signiﬁcance,-2.3365655,-0.61951864,-0.5196415,-1.8314509,0.20540915
testing,-1.9694663,-0.37059683,-0.25845227,-1.463689,-0.4224754
avoid,-1.1211393,-0.7900248,-1.0951854,-0.53068614,-0.11498061
harm,-1.1897786,-0.7179221,-0.9945774,-2.009066,0.57271034
interpreting,-1.3970152,-0.6644157,-0.6709916,-1.6523368,-0.24253382
regularization,-0.9043248,-1.8954884,-0.5078596,-0.54757404,0.4377752
derive,-0.5197006,-0.91535926,-0.07942388,0.5481392,-0.46934894
equation,-0.48256364,-2.069379,0.05461321,0.543074,0.09026993
lexical,-0.15969013,-0.06387934,-1.4199879,1.0661346,0.8925338
vector,-0.25296625,-2.0411704,-0.93110824,0.94117093,-0.8952493
intuition,-0.607065,-1.3545558,-0.03929502,0.25132433,0.27848616
count,0.29633653,-1.321533,-0.9852491,-0.34037736,-1.5032327
cosine,-0.33737317,-1.365645,-2.4853032,0.36043626,-0.63555306
similarity,-0.9220821,-0.6916015,-1.8858259,0.08179145,-0.4701515
visualize,-0.7241308,-1.5333093,-0.62744933,0.36598638,0.6485759
property,0.06691274,-0.29765242,-0.90474325,0.38940606,0.47076237
bias,-1.3193082,-0.9259403,-1.4675189,-0.11305347,-0.22052486
unit,-0.048586026,-1.3852937,0.61177486,1.4202582,-0.1660606
xor,-0.5791188,-1.9074519,-0.5581022,0.3255485,1.0119478
problem,-1.0972683,-0.47829735,-0.6636563,-0.57984924,0.23969698
feedforward,-1.9184697,-2.100036,0.7009932,0.92487043,0.52311003
nlp,-1.6321818,0.026795512,-0.07728236,-0.025663547,0.142326
input,-0.63039154,-1.5308344,-0.035958428,1.320978,-1.0688953
net,-2.009872,-1.4374098,0.6671549,1.0621814,0.8744857
classiﬁer,-1.6828302,-0.87075,-1.2744403,0.28985026,-0.16493335
architecture,-1.7607442,-0.81848985,1.115744,1.1596977,-0.51965654
conditional,-1.339406,-0.9815104,0.3703604,-0.2761779,-1.0329965
generation,-1.3401986,-0.026974583,0.8112835,0.14550392,-0.86176115
prompt,-1.0623515,-0.038761362,0.017784547,-0.47765666,-1.6457763
sampling,-0.6576964,-1.616392,0.26132318,-1.1344856,-0.85064673
ethical,-1.1672235,0.3632529,-0.7875657,-1.9309027,-0.074003816
safety,-1.1230881,0.5605883,-0.63925326,-2.159902,-0.68578166
issue,-0.5185089,0.19232957,-0.62326914,-1.1185628,-0.080552325
attention,-1.8198748,-1.6795571,-0.34174046,1.7180091,0.12058188
block,-1.1455706,-1.8488535,0.79505396,2.4340274,-0.37144297
parallelizing,-1.3382614,-2.41598,0.037737753,2.2838972,0.47465795
computation,-0.8423687,-1.910068,-0.109333865,1.381617,0.32397875
single,-0.4471988,-1.4340719,-0.4811927,1.2412614,-0.6615643
matrix,-0.38330424,-2.0313885,-0.87001187,1.5023944,-1.1623852
position,0.583444,-1.306777,-0.58989424,1.2024546,-0.6047589
modeling,-1.9375864,-0.41814893,0.58510864,0.041685015,-0.4498611
head,-1.0907156,-0.9844642,-1.0021514,2.1290445,0.1926675
deal,-0.25269422,-0.21817784,-0.2767557,-0.025656316,-0.40865877
scale,-0.6538917,-0.79141444,-0.1671051,-1.1450888,-0.4509457
interpret,-0.5958317,-0.7289021,-0.7324755,-0.08682858,0.5212893
bidirectional,-2.2094562,-0.7634939,0.8608656,1.8616723,-0.72642154
encoder,-1.9229699,-1.1644679,1.0277402,1.4295549,-1.1589221
contextual,-1.5696186,-0.4116954,-1.0022346,1.170625,-1.0249373
